version,1
codebook_name, M9E1
bit_names, RS0015, RS0083, RS0095, RS0109, RS0175, RS0237, RS0247, RS0255, RS0307, RS0332, RS0343, RS0384, RS0406, RS0451, RS0468, RS0548
name, id, barcode
Tnfsf4,NM_009452, 0  0  0  0  1  0  0  0  1  0  0  0  1  0  1  0
Tnfsf18,NM_183391, 0  0  1  0  0  0  0  0  0  1  1  0  0  0  1  0
Mki67,NM_001081117, 0  1  1  0  1  0  0  0  1  0  0  0  0  0  0  0
Foxm1,NM_008021, 0  0  0  1  1  0  0  1  0  0  0  0  0  0  0  1
Ccnd1,NM_007631, 1  1  0  0  0  1  0  0  1  0  0  0  0  0  0  0
Sox10,NM_011437, 0  1  0  0  0  0  0  0  0  0  0  0  1  1  0  1
Tfrc,NM_001357298, 1  0  0  0  0  1  1  1  0  0  0  0  0  0  0  0
Sdhaf3,NM_001077713, 0  0  0  0  0  0  1  0  1  0  0  0  0  0  1  1
Epcam,NM_008532, 1  0  1  0  0  0  0  1  0  0  0  1  0  0  0  0
Erbb2,NM_001003817, 0  1  0  1  0  0  0  0  0  0  1  0  0  1  0  0
Egfr,NM_207655, 0  0  0  0  0  0  0  0  0  1  0  1  0  1  1  0
Mmp11,NM_008606, 1  0  0  0  0  1  0  0  0  1  0  0  0  1  0  0
Birc5,NM_001012273, 0  1  0  0  0  1  0  0  0  1  0  1  0  0  0  0
Acta2,NM_007392, 0  0  0  0  0  0  0  1  0  0  0  0  1  1  1  0
Kras,NM_021284, 1  0  0  1  1  0  0  0  0  1  0  0  0  0  0  0
Stat1,NM_001357627, 0  1  0  0  1  0  1  0  0  0  0  0  0  1  0  0
Stat3,NM_011486, 0  0  0  1  0  0  1  0  0  0  0  0  0  1  1  0
Tpm1,NM_001164256, 0  0  0  0  1  0  0  1  0  0  1  0  1  0  0  0
Fgf7,NM_008008, 0  0  0  0  0  1  0  1  0  0  0  0  0  1  0  1
Ephb2,NM_001290753, 0  0  1  1  0  1  0  0  0  1  0  0  0  0  0  0
Sox4,NM_009238, 1  1  1  0  0  0  0  0  0  0  1  0  0  0  0  0
Apc,NM_001360979, 0  1  0  0  1  1  0  0  0  0  1  0  0  0  0  0
Jak2,NM_008413, 0  0  0  0  0  1  1  0  0  1  0  0  0  0  0  1
Mapk1,NM_001357115, 0  0  0  1  0  0  0  0  0  0  1  0  1  0  0  1
Ncam1,NM_001081445, 0  0  0  0  0  1  1  0  0  0  1  0  0  1  0  0
Nfkb1,NM_008689, 0  0  1  0  0  1  0  0  1  0  1  0  0  0  0  0
Nod2,NM_145857, 0  1  0  1  1  0  0  0  0  0  0  0  0  0  1  0
Pax5,NM_008782, 0  0  0  1  1  0  0  0  1  0  0  1  0  0  0  0
Notch1,NM_008714, 0  1  0  0  0  0  0  1  0  0  1  1  0  0  0  0
Raf1,NM_029780, 0  1  0  0  1  0  0  0  0  0  0  1  1  0  0  0
Smad3,NM_016769, 0  1  1  0  0  0  0  1  0  0  0  0  0  1  0  0
Smad5,NM_008541, 0  1  0  0  0  0  0  0  1  1  0  0  0  1  0  0
Tlr1,NM_001276445, 0  1  1  0  0  0  0  0  0  0  0  0  1  0  1  0
Tlr3,NM_001357316, 0  0  1  1  0  0  0  0  1  0  0  0  0  0  1  0
Tlr4,NM_021297, 0  0  0  0  1  0  0  0  0  1  0  0  0  0  1  1
Src,NM_001025395, 0  0  1  0  0  0  1  0  1  0  0  0  0  1  0  0
Syk,NM_001198977, 1  0  0  0  0  0  0  0  0  0  1  0  1  0  1  0
Rag1,NM_009019, 0  0  0  0  1  0  1  0  0  0  0  0  1  0  0  1
Ptpn2,NM_001127177, 0  0  0  0  0  1  0  0  1  0  0  1  0  1  0  0
Ptk2,NM_001358046, 1  0  1  0  0  0  0  0  1  0  0  0  0  0  0  1
Irf1,NM_008390, 1  0  0  1  0  0  0  0  0  0  0  0  0  0  1  1
Atg5,NM_053069, 0  1  0  1  0  0  0  0  0  1  0  0  0  0  0  1
Atg7,NM_001253717, 0  0  0  1  0  0  0  0  1  1  1  0  0  0  0  0
Blank-01, , 0  0  0  1  0  0  1  1  0  0  0  0  1  0  0  0
Blank-02, , 0  1  1  0  0  0  1  0  0  1  0  0  0  0  0  0
Blank-03, , 0  0  0  0  0  0  0  0  1  0  1  0  1  1  0  0
Blank-04, , 0  0  0  0  1  0  0  0  0  1  1  1  0  0  0  0
Blank-05, , 0  0  1  0  0  0  0  0  0  0  0  0  0  1  1  1
Blank-06, , 0  0  0  0  0  0  1  1  0  0  0  1  0  0  1  0
Blank-07, , 0  0  0  0  0  0  0  1  0  1  0  1  1  0  0  0
Blank-08, , 1  0  0  0  0  0  0  0  1  0  0  0  0  1  1  0
Blank-09, , 1  0  0  0  0  0  1  0  0  1  1  0  0  0  0  0
Blank-10, , 0  0  0  0  0  0  0  0  0  1  1  0  0  1  0  1
Blank-11, , 0  0  1  0  0  0  0  0  0  1  0  1  0  0  0  1
Blank-12, , 0  0  1  0  0  1  0  0  0  0  0  0  1  1  0  0
Blank-13, , 1  0  0  0  0  0  0  0  0  0  0  1  1  0  0  1
Blank-14, , 0  0  0  0  0  0  0  1  1  0  1  0  0  0  1  0
Blank-15, , 1  0  0  0  1  0  1  0  0  0  0  1  0  0  0  0
Blank-16, , 1  1  0  0  0  0  0  0  0  1  0  0  0  0  1  0
Blank-17, , 0  0  0  0  1  0  1  0  1  1  0  0  0  0  0  0
Blank-18, , 0  0  0  1  1  0  1  0  0  0  1  0  0  0  0  0
Blank-19, , 0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  1
Blank-20, , 1  1  0  1  0  0  0  1  0  0  0  0  0  0  0  0
Blank-21, , 0  0  0  1  0  0  0  0  1  0  0  0  0  1  0  1
Blank-22, , 0  0  1  0  0  0  0  0  1  0  0  1  1  0  0  0
Blank-23, , 0  1  0  1  0  1  1  0  0  0  0  0  0  0  0  0
Blank-24, , 0  0  1  0  1  0  1  1  0  0  0  0  0  0  0  0
Blank-25, , 1  0  0  0  1  0  0  0  0  0  0  0  1  1  0  0
Blank-26, , 0  1  0  0  0  0  0  1  0  0  0  0  0  0  1  1
Blank-27, , 0  0  0  0  0  1  0  1  0  1  1  0  0  0  0  0
Blank-28, , 0  0  0  1  0  0  0  1  0  1  0  0  0  0  1  0
Blank-29, , 0  0  1  1  1  0  0  0  0  0  0  0  1  0  0  0
Blank-30, , 1  0  0  0  0  1  0  0  0  0  1  0  0  0  0  1
Blank-31, , 0  0  0  1  0  0  0  0  0  1  0  0  1  1  0  0
Blank-32, , 0  1  0  0  0  1  0  1  0  0  0  0  1  0  0  0
Blank-33, , 0  1  1  0  0  1  0  0  0  0  0  0  0  0  0  1
Blank-34, , 0  0  0  0  0  1  0  0  1  1  0  0  0  0  1  0
Blank-35, , 1  0  0  0  1  0  0  0  1  0  1  0  0  0  0  0
Blank-36, , 1  1  0  0  0  0  0  0  0  0  0  1  0  1  0  0
